CustomerID,Age Group,Gender,ItemPurchased,Category,PurchaseAmount,Location,Size,Color,Season,ReviewRating,SubscriptionStatus,ShippingType,PromoCodeUsed,PreviousPurchases,PaymentMethod,DiscountValue
135,40 - 49,Male,Hat,Accessories,94,Texas,L,Gray,Fall,4.9,Yes,Store Pickup,Yes,0,Cash,50
136,40 - 49,Male,Sandals,Footwear,81,Kansas,M,Purple,Fall,4.1,Yes,Express,No,12,Cash,
137,30 - 39,Female,Blouse,Clothing,86,South Carolina,M,White,Winter,3.3,Yes,Free Shipping,No,4,Debit Card,0
138,60 - 70,,Sneakers,Footwear,43,Colorado,M,Turquoise,Spring,4.7,Yes,Free Shipping,Yes,0,Debit,50
139,60 - 70,Male,Skirt,Clothing,29,Georgia,M,Maroon,Winter,4.4,Yes,Store Pickup,No,42,Bank Transfer,0
140,40 - 49,Male,Coat,Outerwear,95,Florida,M,White,Fall,3.8,Yes,Store Pickup,No,0,Debit Card,
141,60 - 70,Male,Shirt,Clothing,28,North Carolina,L,Yellow,Fall,3.9,Yes,2-Day Shipping,No,0,Credit Card,
142,50 - 59,Male,Gloves,Accessories,46,Virginia,M,Turquoise,Fall,4.9,Yes,Free Shipping,No,45,Cash,
143,30 - 39,Female,Jacket,Outerwear,58,Nebraska,L,Violet,Fall,3.1,Yes,Free Shipping,No,0,Credit Card,
144,30 - 39,Female,Coat,Outerwear,48,Missouri,M,Beige,Fall,2.7,Yes,Store Pickup,Yes,0,Cash,10
145,10 - 19,,Shoes,Footwear,43,New Jersey,M,Silver,Fall,3.2,Yes,Express,No,0,Cash,
146,20 - 29,Female,Jewelry,Accessories,95,Missouri,M,Teal,Fall,4.5,Yes,Standard,Yes,44,Debit Card,10
147,50 - 59,Male,Skirt,Clothing,30,Colorado,S,Black,Fall,4,Yes,Standard,Yes,0,Debit Card,50
148,60 - 70,Female,Shoes,Footwear,64,Idaho,M,Purple,Summer,3.5,Yes,2-Day Shipping,No,0,Bank Transfer,
149,30 - 39,Male,Gloves,Accessories,90,Wyoming,M,Gray,Fall,2.6,Yes,Store Pickup,No,0,Debit Card,0
150,30 - 39,Female,Pants,Clothing,76,Delaware,M,White,Summer,3.2,Yes,Free Shipping,No,0,Cash,
151,30 - 39,Female,Boots,Footwear,96,California,L,Cyan,Fall,4.9,Yes,Standard,No,0,Debit Card,
152,20 - 29,,Sunglasses,Accessories,47,North Dakota,L,Turquoise,Fall,4.5,Yes,Next Day Air,No,3,Debit Card,0
153,30 - 39,Male,Shirt,Clothing,85,South Carolina,S,Brown,Summer,4.3,Yes,Express,No,0,Debit Card,
154,60 - 70,Female,Hoodie,Clothing,55,North Carolina,M,Maroon,Winter,3.2,Yes,Standard,Yes,0,Debit Card,20
155,40 - 49,Male,Dress,Clothing,98,Oklahoma,M,Charcoal,Fall,3.6,Yes,Next Day Air,No,0,Debit Card,0
156,60 - 70,Female,Socks,Clothing,77,Maine,S,Olive,Spring,4.3,Yes,Free Shipping,No,0,Bank Transfer,
157,30 - 39,,Shorts,Clothing,26,Missouri,M,Lavender,Fall,4,Yes,Standard,No,0,Debit Card,
158,30 - 39,Male,Hat,Accessories,68,Vermont,S,Yellow,Fall,3,Yes,Next Day Air,No,0,Bank Transfer,0
159,20 - 29,Female,Shirt,Clothing,73,Connecticut,XL,Teal,Fall,4.1,Yes,Standard,No,0,Bank Transfer,
160,50 - 59,Female,Gloves,Accessories,27,New Hampshire,M,Charcoal,Fall,3.8,Yes,Store Pickup,No,39,Bank Transfer,
161,0 - 9,Male,Gloves,Accessories,23,Texas,M,Orange,Summer,4.6,Yes,Free Shipping,Yes,0,Debit Card,50
162,60 - 70,Female,Backpack,Accessories,49,North Dakota,M,Olive,Fall,3,Yes,Express,No,29,Debit Card,0
163,0 - 9,Male,Sunglasses,Accessories,74,California,M,Turquoise,Summer,3,Yes,Store Pickup,No,0,Cash,
164,50 - 59,Male,Skirt,Clothing,67,Virginia,M,Purple,Summer,3.4,Yes,Standard,No,0,Debit Card,
165,50 - 59,Male,Handbag,Accessories,65,Delaware,S,Purple,Spring,2.6,Yes,Free Shipping,No,0,Credit Card,
166,40 - 49,Female,Handbag,Accessories,60,Kentucky,S,Yellow,Winter,2.8,Yes,Store Pickup,No,0,Cash,0
167,40 - 49,Female,Sneakers,Footwear,31,Delaware,XL,Indigo,Fall,4,Yes,Store Pickup,No,0,Cash,0
168,30 - 39,Female,Gloves,Accessories,27,Arkansas,M,Green,Fall,4,Yes,Express,Yes,14,Credit Card,20
169,30 - 39,,Shoes,Footwear,80,Louisiana,M,Magenta,Summer,3,Yes,Express,No,0,Cash,
170,0 - 9,Male,Jacket,Outerwear,30,Nevada,S,Gold,Summer,3.3,Yes,Standard,No,0,Cash,0
171,50 - 59,Male,Shirt,Clothing,25,Wyoming,M,Maroon,Fall,2.6,Yes,Store Pickup,No,0,Debit Card,
172,20 - 29,Female,Shorts,Clothing,35,Virginia,M,Blue,Summer,3.6,Yes,Store Pickup,No,4,Credit Card,0
173,50 - 59,Male,Jewelry,Accessories,67,Nebraska,M,Violet,Summer,3.9,Yes,Next Day Air,No,0,Credit Card,0
174,20 - 29,Male,Hat,Accessories,46,Hawaii,M,Turquoise,Fall,3.4,Yes,Standard,No,0,Cash,0
175,40 - 49,Male,Shoes,Footwear,35,Vermont,L,Brown,Winter,3.5,Yes,Express,No,37,Debit Card,
176,50 - 59,Female,Coat,Outerwear,86,Oklahoma,L,Violet,Fall,2.8,Yes,Next Day Air,Yes,0,Bank Transfer,10
177,50 - 59,Female,Backpack,Accessories,81,New Hampshire,L,Black,Spring,2.7,Yes,Next Day Air,Yes,30,Credit Card,10
178,20 - 29,Female,Hoodie,Clothing,42,Kansas,L,Magenta,Fall,3.7,Yes,Next Day Air,No,47,Bank Transfer,0
179,60 - 70,Male,Skirt,Clothing,43,Idaho,L,Lavender,Fall,4.3,Yes,2-Day Shipping,No,0,Cash,
180,60 - 70,Female,Boots,Footwear,31,Illinois,M,Violet,Fall,4.9,Yes,Store Pickup,Yes,0,Bank Transfer,50
181,50 - 59,Female,Sandals,Footwear,81,South Dakota,L,Green,Fall,3.3,Yes,Store Pickup,No,0,Debit Card,0
182,30 - 39,Female,Pants,Clothing,61,Massachusetts,M,Beige,Summer,4.7,Yes,Next Day Air,Yes,0,Bank Transfer,10
183,30 - 39,Female,Gloves,Accessories,96,Alabama,XL,Purple,Summer,2.8,Yes,Store Pickup,No,10,Debit Card,0
184,50 - 59,Male,Skirt,Clothing,29,Ohio,XL,Beige,Spring,3.6,Yes,2-Day Shipping,No,0,Credit Card,
185,30 - 39,Male,Sneakers,Footwear,33,Hawaii,L,Cyan,Spring,3,Yes,Express,No,0,Cash,
186,40 - 49,Female,T-shirt,Clothing,32,Wisconsin,XL,Silver,Summer,4.5,Yes,Store Pickup,No,34,Bank Transfer,
187,0 - 9,Female,Backpack,Accessories,56,Minnesota,S,Lavender,Summer,2.9,Yes,Standard,No,0,Debit Card,0
188,10 - 19,Male,Shoes,Footwear,94,Georgia,S,Purple,Spring,3.3,Yes,Store Pickup,No,0,Bank Transfer,0
189,50 - 59,Female,Hoodie,Clothing,53,Arkansas,M,Pink,Spring,3.1,Yes,Express,Yes,0,Bank Transfer,10
190,30 - 39,Female,Blouse,Clothing,82,West Virginia,M,Maroon,Fall,4.4,Yes,Next Day Air,Yes,0,Credit Card,50
191,60 - 70,Female,Coat,Outerwear,70,Indiana,XL,Beige,Fall,3,Yes,Free Shipping,No,0,Debit Card,0
192,60 - 70,Female,Hat,Accessories,76,Utah,M,Gray,Fall,3.9,Yes,Free Shipping,No,29,Cash,0
193,40 - 49,Female,Shoes,Footwear,29,Nebraska,L,Turquoise,Summer,2.9,Yes,Express,No,0,Credit,0
194,30 - 39,Male,Belt,Accessories,100,North Dakota,S,Silver,Fall,3,Yes,Standard,Yes,0,Debit Card,10
195,50 - 59,Female,Backpack,Accessories,94,Missouri,M,Olive,Spring,3.1,Yes,Express,Yes,0,Debit Card,10
196,50 - 59,Female,Jacket,Outerwear,25,New York,M,Magenta,Fall,4.3,Yes,Free Shipping,Yes,0,Credit Card,10
197,30 - 39,Male,Boots,Footwear,88,Washington,M,Lavender,Summer,3.9,Yes,Next Day Air,No,41,Credit Card,0
198,50 - 59,Male,Scarf,Accessories,78,South Carolina,M,Black,Fall,3.2,Yes,2-Day Shipping,No,0,Credit Card,
199,50 - 59,,Jewelry,Accessories,45,Utah,M,Turquoise,Winter,4.8,Yes,Standard,No,0,Credit Card,
200,50 - 59,Male,Hat,Accessories,73,Idaho,XL,Green,Summer,3.8,Yes,Express,No,0,Cash,0
201,20 - 29,Female,Dress,Clothing,61,Pennsylvania,S,Teal,Summer,3.3,Yes,Next Day Air,No,29,Debit Card,0
202,60 - 70,Female,Blouse,Clothing,22,Missouri,S,Beige,Fall,4.3,Yes,Free Shipping,No,0,Bank Transfer,0
203,50 - 59,Female,Hat,Accessories,38,Nebraska,L,Magenta,Spring,2.7,Yes,Express,No,0,Debit Card,0
204,60 - 70,Female,Scarf,Accessories,38,Indiana,S,Yellow,Fall,3.2,Yes,Next Day Air,No,0,Bank Transfer,0
205,0 - 9,Male,Sneakers,Footwear,100,Arizona,M,Yellow,Fall,4,Yes,Store Pickup,No,0,Cash,0
206,60 - 70,Male,Shirt,Clothing,64,Hawaii,M,Silver,Winter,3,Yes,Standard,No,0,Cash,0
207,20 - 29,Male,T-shirt,Clothing,55,Wisconsin,L,Silver,Summer,4.2,Yes,Free Shipping,No,0,Debit Card,0
208,60 - 70,Female,Gloves,Accessories,91,Rhode Island,M,Silver,Summer,2.9,Yes,Express,No,0,Bank Transfer,
209,50 - 59,Male,Skirt,Clothing,38,Wisconsin,M,Gold,Spring,4.1,Yes,Store Pickup,No,0,Credit Card,0
210,50 - 59,Male,Sandals,Footwear,97,Minnesota,S,Olive,Winter,3.2,Yes,Store Pickup,No,0,Cash,
211,40 - 49,Female,Jacket,Outerwear,22,Vermont,L,Teal,Fall,3,Yes,2-Day Shipping,Yes,0,Cash,10
212,60 - 70,Female,Skirt,Clothing,92,South Dakota,L,Maroon,Fall,4.2,Yes,2-Day Shipping,No,0,Debit Card,
213,60 - 70,Female,Handbag,Accessories,84,Virginia,L,Blue,Fall,4.2,Yes,Express,No,0,Debit Card,
214,30 - 39,Female,Handbag,Accessories,93,Nevada,L,Peach,Fall,4.4,Yes,Store Pickup,Yes,11,Debit Card,10
